sailorID,champNum,sailNo,firstname,Surname,Region,nat,lightRating,midRating,heavyRating,overallRating,rank,events,lastEventDate
gb-7077-joswa,290,47077,joseph,warwicker,NA,GBR,1990.9,2024.9,1566.0,2216.7,0,3,7848
gb-8600-edwcr,318,48600,edwin,cross,NA,GBR,1913.8,2111.9,1901.5,2145.6,3,8,7953
gb-5170-hugva,548,45170,hugo,valentine,NA,GBR,1801.4,1992.9,1835.9,2005.9,10,6,7953
gb-5047-samcr,571,45047,samson,cross,NA,GBR,1692.6,1810.6,1894.6,1888.7,16,7,7953
gb-8153-leoya,317,48153,leo,yates,NA,GBR,1915.4,1967.9,1896.2,2118.5,4,12,8064
gb-8100-roopu,70,48100,roo,purves,NA,GBR,1953.3,1851.8,1500.0,2151.3,0,1,7848
gb-7879-oscfr,238,47879,oscar,fry,NA,GBR,1871.6,2037.4,1793.3,2166.1,1,5,7889
gb-8603-danpa,426,48603,dan,palmer,NA,GBR,1857.4,1963.2,1500.0,2104.9,0,1,7848
gb-5770-bjoha,690,45770,bjorn,handley,NA,GBR,1839.7,1908.1,1887.5,2073.4,8,5,7953
gb-8433-robph,532,48433,robin,phipps,NA,GBR,1932.1,1952.8,1735.4,2069.2,0,4,7889
gb-6771-alfno,346,46771,alfie,noel,NA,GBR,1910.8,1977.3,1871.4,2151.8,2,6,7889
gb-8678-kaiwy,584,48678,kaitlyn,wyatt,NA,GBR,1771.4,1836.9,1730.7,1951.6,15,7,7889
gb-7601-tommo,658,47601,tom,moss,NA,GBR,1838.6,1691.2,1707.9,1715.4,38,7,7919
gb-8617-immre,108,48617,immi,rees,NA,GBR,1923.8,1658.3,1814.0,1837.2,23,6,7889
gb-8451-daifi,519,48451,daisy,fisher,NA,GBR,1835.9,1934.0,1886.3,2083.8,7,7,7889
gb-7680-olije,155,47680,oliver,jennings,NA,GBR,1817.8,1822.4,1570.1,1987.7,0,2,7848
gb-6989-jadbr,305,46989,jadon,brockdorff-kennedy,NA,GBR,1848.6,1848.9,1687.0,1976.4,0,4,7889
gb-7731-finca,191,47731,finn,caddy,NA,GBR,1855.4,1754.1,1507.6,2023.6,0,2,7848
gb-8098-haymo,545,48098,hayden,moore,NA,GBR,1715.2,1857.6,1837.3,1874.2,18,10,7953
gb-7927-reuhu,669,47927,reuben,hudson,NA,GBR,1848.0,1760.9,1830.5,1992.6,12,8,7953
gb-8663-eriyo,179,48663,erin,young,NA,GBR,1458.2,1832.5,1505.5,1380.2,70,8,7961
gb-8586-finmo,134,48586,finn,morgan,NA,GBR,1772.2,1793.4,1698.9,1901.2,0,4,7848
gb-7649-jibbo,654,47649,jibriel,bostan,NA,GBR,1734.0,1665.0,1586.3,1786.7,29,5,7848
gb-7765-lilbr,217,47765,lily,browning,NA,GBR,1892.5,1763.4,1903.4,2096.1,6,9,7953
gb-6168-gwyla,247,46168,gwyneth,lanyon,NA,GBR,1818.6,1721.8,1686.2,1753.6,36,6,7889
gb-8692-megth,615,48692,megan,thomson,NA,GBR,1609.5,1774.0,1735.3,1760.6,35,6,7953
gb-8258-chlmi,158,48258,chloe,mills,NA,GBR,1785.8,1857.9,1709.8,1850.8,21,6,7889
gb-8526-tomth,379,48526,tom,thwaites,NA,GBR,1771.4,1796.7,1500.0,1929.5,0,1,7848
gb-8744-gramc,156,48744,graydon,mcleod-fleming,NA,GBR,1851.0,1734.4,1871.7,1990.5,13,17,8142
gb-3834-chrha,243,43834,chris,hampshire,NA,GBR,1641.7,1710.5,1583.3,1663.7,45,6,7961
gb-8096-benho,618,48096,ben,homer,NA,GBR,1810.8,1758.8,1634.3,1802.4,0,4,7953
gb-7777-katbu,57,47777,katherine,burgess,NA,GBR,1571.3,1646.2,1730.1,1730.4,37,11,8064
gb-7746-tompe,511,47746,tom,peace,NA,GBR,1632.5,1211.5,1493.0,1337.3,72,5,7889
gb-5398-madsm,47,45398,maddie,smith,NA,GBR,1492.8,1548.8,1713.1,1486.4,0,3,7848
gb-6391-jespo,611,46391,jessica,powell,NA,GBR,1849.9,1835.9,1915.4,2114.8,5,19,8113
gb-7299-jasbr,170,47299,jasper,bramwell,NA,GBR,1584.4,1655.9,1727.5,1680.4,0,4,7919
gb-7676-sebda,91,47676,sebastian,davies,NA,GBR,1708.6,1570.3,1729.7,1850.9,22,8,7959
gb-7775-ruahe,36,47775,ruairi,herrington,NA,GBR,1625.6,1477.2,1404.9,1469.7,0,3,7953
gb-8185-arrgo,637,48185,arran,goodman,NA,GBR,1680.7,1698.7,1604.8,1654.9,48,8,7959
gb-8249-rhygr,263,48249,rhys,griffiths,NA,GBR,1524.5,1704.1,1692.2,1778.5,31,9,7959
gb-0827-isogl,208,30827,isobel,glazebrook,NA,GBR,1477.5,1562.0,1458.5,1545.5,0,2,7848
gb-8628-eriti,58,48628,erin,tinkler,NA,GBR,1368.9,1492.5,1665.9,1643.6,0,4,7953
gb-6205-caith,121,46205,caitlin,thomas,NA,GBR,1689.4,1617.0,1725.7,1798.1,26,16,8113
gb-7265-lewba,698,47265,lewis,bacon,NA,GBR,1558.4,1547.0,1605.0,1667.4,44,7,7961
gb-6522-josre,166,46522,joseph,reid,NA,GBR,1509.7,1705.1,1526.4,1706.4,0,2,7889
gb-8572-jemfr,44,48572,jemima,fry,NA,GBR,1517.3,1572.2,1550.3,1660.8,46,5,7889
gb-7786-emibr,200,47786,emily,brushett,NA,GBR,1611.4,1768.4,1665.4,1788.7,28,5,7959
gb-5197-polmc,349,45197,polly,mcmullan,NA,GBR,1319.5,1664.9,1455.9,1633.2,50,6,8113
gb-7764-tarew,696,47764,tara,ewbank,NA,GBR,1600.0,1643.8,1691.3,1818.5,25,11,8064
gb-8165-ed0qu,160,48165,ed,quinn,NA,GBR,1796.1,1534.8,1859.6,1971.4,14,7,8078
gb-7855-lauir,760,47855,lauren,irons,NA,GBR,1419.6,1803.6,1694.8,1625.5,51,5,7953
gb-8582-finbr,74,48582,finn,briggs,NA,GBR,1621.0,1457.2,1683.7,1789.3,0,3,7953
gb-8878-finso,323,48878,finn,southon,NA,GBR,1790.4,1457.0,1590.6,1790.9,27,7,7953
gb-8654-josja,324,48654,joshua,james,NA,GBR,1375.5,1537.1,1511.1,1465.1,0,2,7953
gb-8667-milha,582,48667,millie,hardiman,NA,GBR,1564.4,1545.0,1548.2,1677.5,40,8,8064
gb-8758-chaco,398,48758,charlotte,cooper,NA,GBR,1655.6,1407.4,1471.5,1620.8,52,7,7961
gb-8651-harte,81,48651,harriet,temple,NA,GBR,1561.8,1502.2,1565.5,1669.8,43,7,8113
gb-8259-ed0pa,331,48259,ed,paling,NA,GBR,1671.6,1432.8,1685.0,1780.4,30,8,8078
gb-8066-jacsi,539,48066,jack,sims,NA,GBR,1556.6,1478.5,1696.9,1760.7,0,4,7953
gb-7863-rorcl,574,47863,rory,clow,NA,GBR,1475.5,1369.6,1619.5,1642.0,0,4,7953
gb-7808-olism,86,47808,oliver,smith,NA,GBR,1514.7,1358.0,1579.7,1627.3,0,4,7953
gb-5772-geohu,85,45772,georgia,hughes,NA,GBR,1389.7,1495.5,1581.9,1443.4,0,3,7848
