sailorID,champNum,sailNo,firstname,Surname,Region,nat,lightRating,midRating,heavyRating,overallRating,rank,events,lastEventDate
gb-7077-joswa,290,47077,joseph,warwicker,NA,GBR,1990.9,2024.9,1566.0,2206.0,0,3,7848
gb-8600-edwcr,318,48600,edwin,cross,NA,GBR,1913.8,2111.9,1901.5,2134.9,6,8,7953
gb-5170-hugva,548,45170,hugo,valentine,NA,GBR,1801.4,1992.9,1835.9,1995.2,17,6,7953
gb-5047-samcr,571,45047,samson,cross,NA,GBR,1692.6,1810.6,1894.6,1878.0,28,7,7953
gb-8153-leoya,317,48153,leo,yates,NA,GBR,2049.9,2111.4,1871.3,2246.7,1,16,8218
gb-8100-roopu,70,48100,roo,purves,NA,GBR,1953.3,1851.8,1500.0,2140.6,0,1,7848
gb-7879-oscfr,238,47879,oscar,fry,NA,GBR,1871.6,2037.4,1793.3,2155.4,3,5,7889
gb-8603-danpa,426,48603,dan,palmer,NA,GBR,1857.4,1963.2,1500.0,2094.2,0,1,7848
gb-5770-bjoha,690,45770,bjorn,handley,NA,GBR,1839.7,1908.1,1887.5,2062.7,12,5,7953
gb-8433-robph,532,48433,robin,phipps,NA,GBR,1932.1,1952.8,1735.4,2058.5,0,4,7889
gb-6771-alfno,346,46771,alfie,noel,NA,GBR,1910.8,1977.3,1871.4,2141.1,5,6,7889
gb-8678-kaiwy,584,48678,kaitlyn,wyatt,NA,GBR,1771.4,1836.9,1730.7,1940.9,23,7,7889
gb-7601-tommo,658,47601,tom,moss,NA,GBR,1838.6,1691.2,1707.9,1704.7,52,7,7919
gb-8617-immre,108,48617,immi,rees,NA,GBR,1923.8,1658.3,1814.0,1826.5,36,6,7889
gb-8451-daifi,519,48451,daisy,fisher,NA,GBR,1835.9,1934.0,1886.3,2073.1,9,7,7889
gb-7680-olije,155,47680,oliver,jennings,NA,GBR,1817.8,1822.4,1570.1,1977.0,0,2,7848
gb-6989-jadbr,305,46989,jadon,brockdorff-kennedy,NA,GBR,1630.0,1670.1,1913.3,1684.3,56,5,8146
gb-7731-finca,191,47731,finn,caddy,NA,GBR,1855.4,1754.1,1507.6,2012.9,0,2,7848
gb-8098-haymo,545,48098,hayden,moore,NA,GBR,1715.2,1857.6,1837.3,1863.5,31,10,7953
gb-7927-reuhu,669,47927,reuben,hudson,NA,GBR,1848.0,1760.9,1830.5,1981.9,19,8,7953
gb-8663-eriyo,179,48663,erin,young,NA,GBR,1844.0,1901.7,1812.4,2009.3,15,13,8200
gb-8586-finmo,134,48586,finn,morgan,NA,GBR,1772.2,1793.4,1698.9,1890.5,0,4,7848
gb-7649-jibbo,654,47649,jibriel,bostan,NA,GBR,1734.0,1665.0,1586.3,1776.0,44,5,7848
gb-7765-lilbr,217,47765,lily,browning,NA,GBR,2003.8,1969.4,2026.4,2186.0,2,11,8200
gb-6168-gwyla,247,46168,gwyneth,lanyon,NA,GBR,1818.6,1721.8,1686.2,1742.9,47,6,7889
gb-8692-megth,615,48692,megan,thomson,NA,GBR,1609.5,1774.0,1735.3,1749.9,46,6,7953
gb-8258-chlmi,158,48258,chloe,mills,NA,GBR,1785.8,1857.9,1709.8,1840.1,33,6,7889
gb-8526-tomth,379,48526,tom,thwaites,NA,GBR,1771.4,1796.7,1500.0,1918.8,0,1,7848
gb-8744-gramc,156,48744,graydon,mcleod-fleming,NA,GBR,1855.8,1861.9,1845.0,1983.1,18,24,8218
gb-3834-chrha,243,43834,chris,hampshire,NA,GBR,1886.5,1985.3,1801.3,2135.0,7,11,8200
gb-8096-benho,618,48096,ben,homer,NA,GBR,1980.1,1956.9,1815.2,2131.1,8,8,8200
gb-7777-katbu,57,47777,katherine,burgess,NA,GBR,1571.3,1646.2,1730.1,1719.7,50,11,8064
gb-7746-tompe,511,47746,tom,peace,NA,GBR,1557.5,1443.1,1471.6,1599.4,73,7,8218
gb-5398-madsm,47,45398,maddie,smith,NA,GBR,1327.8,1477.7,1628.7,1677.5,59,5,8218
gb-6391-jespo,611,46391,jessica,powell,NA,GBR,1985.7,1911.6,1936.1,2056.7,13,24,8218
gb-7299-jasbr,170,47299,jasper,bramwell,NA,GBR,1707.3,1738.0,1715.8,1885.6,26,6,8178
gb-7676-sebda,91,47676,sebastian,davies,NA,GBR,1816.9,1735.4,1897.0,1961.1,21,11,8218
gb-7775-ruahe,36,47775,ruairi,herrington,NA,GBR,1764.3,1766.1,1776.8,1885.9,25,6,8200
gb-8185-arrgo,637,48185,arran,goodman,NA,GBR,1680.7,1698.7,1604.8,1644.2,67,8,7959
gb-8249-rhygr,263,48249,rhys,griffiths,NA,GBR,1610.6,1680.5,1754.3,1822.1,37,12,8218
gb-0827-isogl,208,30827,isobel,glazebrook,NA,GBR,1477.5,1562.0,1458.5,1534.8,0,2,7848
gb-8628-eriti,58,48628,erin,tinkler,NA,GBR,1475.4,1655.8,1848.8,1861.7,32,6,8169
gb-6205-caith,121,46205,caitlin,thomas,NA,GBR,1680.5,1582.5,1652.9,1658.0,63,17,8146
gb-7265-lewba,698,47265,lewis,bacon,NA,GBR,1808.9,1986.4,1810.1,2072.8,10,12,8200
gb-6522-josre,166,46522,joseph,reid,NA,GBR,1507.4,1694.5,1526.4,1652.6,0,3,8199
gb-8572-jemfr,44,48572,jemima,fry,NA,GBR,1517.3,1572.2,1550.3,1650.1,65,5,7889
gb-7786-emibr,200,47786,emily,brushett,NA,GBR,1786.9,1601.7,1428.6,1614.2,71,7,8218
gb-5197-polmc,349,45197,polly,mcmullan,NA,GBR,1317.7,1466.5,1435.4,1435.0,101,7,8169
