sailorID,champNum,sailNo,firstname,Surname,Region,nat,lightRating,midRating,heavyRating,overallRating,rank,events,lastEventDate
gb-7077-joswa,290,47077,joseph,warwicker,NA,GBR,1990.9,2024.9,1566.0,2209.5,0,3,7848
gb-8600-edwcr,318,48600,edwin,cross,NA,GBR,1913.8,2111.9,1901.5,2138.4,3,8,7953
gb-5170-hugva,548,45170,hugo,valentine,NA,GBR,1801.4,1992.9,1835.9,1998.7,10,6,7953
gb-5047-samcr,571,45047,samson,cross,NA,GBR,1692.6,1810.6,1894.6,1881.5,22,7,7953
gb-8153-leoya,317,48153,leo,yates,NA,GBR,1911.2,1958.9,1821.7,1945.9,17,14,8169
gb-8100-roopu,70,48100,roo,purves,NA,GBR,1953.3,1851.8,1500.0,2144.1,0,1,7848
gb-7879-oscfr,238,47879,oscar,fry,NA,GBR,1871.6,2037.4,1793.3,2158.9,1,5,7889
gb-8603-danpa,426,48603,dan,palmer,NA,GBR,1857.4,1963.2,1500.0,2097.7,0,1,7848
gb-5770-bjoha,690,45770,bjorn,handley,NA,GBR,1839.7,1908.1,1887.5,2066.2,6,5,7953
gb-8433-robph,532,48433,robin,phipps,NA,GBR,1932.1,1952.8,1735.4,2062.0,0,4,7889
gb-6771-alfno,346,46771,alfie,noel,NA,GBR,1910.8,1977.3,1871.4,2144.6,2,6,7889
gb-8678-kaiwy,584,48678,kaitlyn,wyatt,NA,GBR,1771.4,1836.9,1730.7,1944.4,18,7,7889
gb-7601-tommo,658,47601,tom,moss,NA,GBR,1838.6,1691.2,1707.9,1708.2,46,7,7919
gb-8617-immre,108,48617,immi,rees,NA,GBR,1923.8,1658.3,1814.0,1830.0,27,6,7889
gb-8451-daifi,519,48451,daisy,fisher,NA,GBR,1835.9,1934.0,1886.3,2076.6,5,7,7889
gb-7680-olije,155,47680,oliver,jennings,NA,GBR,1817.8,1822.4,1570.1,1980.5,0,2,7848
gb-6989-jadbr,305,46989,jadon,brockdorff-kennedy,NA,GBR,1630.0,1670.1,1913.3,1687.8,51,5,8146
gb-7731-finca,191,47731,finn,caddy,NA,GBR,1855.4,1754.1,1507.6,2016.4,0,2,7848
gb-8098-haymo,545,48098,hayden,moore,NA,GBR,1715.2,1857.6,1837.3,1867.0,23,10,7953
gb-7927-reuhu,669,47927,reuben,hudson,NA,GBR,1848.0,1760.9,1830.5,1985.4,12,8,7953
gb-8663-eriyo,179,48663,erin,young,NA,GBR,1611.2,1815.9,1812.4,1963.9,15,12,8184
gb-8586-finmo,134,48586,finn,morgan,NA,GBR,1772.2,1793.4,1698.9,1894.0,0,4,7848
gb-7649-jibbo,654,47649,jibriel,bostan,NA,GBR,1734.0,1665.0,1586.3,1779.5,38,5,7848
gb-7765-lilbr,217,47765,lily,browning,NA,GBR,1890.8,1838.2,2026.4,2106.7,4,10,8146
gb-6168-gwyla,247,46168,gwyneth,lanyon,NA,GBR,1818.6,1721.8,1686.2,1746.4,42,6,7889
gb-8692-megth,615,48692,megan,thomson,NA,GBR,1609.5,1774.0,1735.3,1753.4,41,6,7953
gb-8258-chlmi,158,48258,chloe,mills,NA,GBR,1785.8,1857.9,1709.8,1843.6,25,6,7889
gb-8526-tomth,379,48526,tom,thwaites,NA,GBR,1771.4,1796.7,1500.0,1922.3,0,1,7848
gb-8744-gramc,156,48744,graydon,mcleod-fleming,NA,GBR,1839.9,1931.5,1828.7,1959.8,16,22,8198
gb-3834-chrha,243,43834,chris,hampshire,NA,GBR,1636.3,1741.9,1801.3,1928.3,19,10,8184
gb-8096-benho,618,48096,ben,homer,NA,GBR,1877.5,1906.1,1815.2,1977.3,14,7,8169
gb-7777-katbu,57,47777,katherine,burgess,NA,GBR,1571.3,1646.2,1730.1,1723.2,44,11,8064
gb-7746-tompe,511,47746,tom,peace,NA,GBR,1557.5,1391.9,1286.2,1488.2,82,6,8146
gb-5398-madsm,47,45398,maddie,smith,NA,GBR,1492.8,1548.8,1713.1,1479.2,0,3,7848
gb-6391-jespo,611,46391,jessica,powell,NA,GBR,1833.7,1892.4,1968.0,2076.3,7,22,8200
gb-7299-jasbr,170,47299,jasper,bramwell,NA,GBR,1707.3,1738.0,1715.8,1889.1,21,6,8178
gb-7676-sebda,91,47676,sebastian,davies,NA,GBR,1830.9,1684.8,1890.6,1924.0,20,9,8146
gb-7775-ruahe,36,47775,ruairi,herrington,NA,GBR,1624.4,1679.5,1776.8,1809.7,31,5,8169
gb-8185-arrgo,637,48185,arran,goodman,NA,GBR,1680.7,1698.7,1604.8,1647.7,58,8,7959
gb-8249-rhygr,263,48249,rhys,griffiths,NA,GBR,1610.6,1669.2,1771.1,1800.3,32,11,8169
gb-0827-isogl,208,30827,isobel,glazebrook,NA,GBR,1477.5,1562.0,1458.5,1538.3,0,2,7848
gb-8628-eriti,58,48628,erin,tinkler,NA,GBR,1475.4,1655.8,1848.8,1865.2,24,6,8169
gb-6205-caith,121,46205,caitlin,thomas,NA,GBR,1680.5,1582.5,1652.9,1661.5,54,17,8146
gb-7265-lewba,698,47265,lewis,bacon,NA,GBR,1728.2,1724.6,1810.1,1980.9,13,11,8184
gb-6522-josre,166,46522,joseph,reid,NA,GBR,1507.4,1694.5,1526.4,1656.1,0,3,8199
gb-8572-jemfr,44,48572,jemima,fry,NA,GBR,1517.3,1572.2,1550.3,1653.6,55,5,7889
gb-7786-emibr,200,47786,emily,brushett,NA,GBR,1786.9,1584.1,1536.1,1645.0,59,6,8146
gb-5197-polmc,349,45197,polly,mcmullan,NA,GBR,1317.7,1466.5,1435.4,1438.5,90,7,8169
gb-7764-tarew,696,47764,tara,ewbank,NA,GBR,1427.6,1619.3,1602.5,1579.6,66,12,8146
gb-8165-ed0qu,160,48165,ed,quinn,NA,GBR,1711.6,1569.5,1565.2,1584.4,69,9,8200
gb-7855-lauir,760,47855,lauren,irons,NA,GBR,1419.6,1803.6,1694.8,1618.3,63,5,7953
gb-8582-finbr,74,48582,finn,briggs,NA,GBR,1737.6,1753.0,1734.1,1835.0,26,7,8177
gb-8878-finso,323,48878,finn,southon,NA,GBR,1790.4,1457.0,1590.6,1783.7,35,7,7953
gb-8654-josja,324,48654,joshua,james,NA,GBR,1375.5,1537.1,1511.1,1457.9,0,2,7953
gb-8667-milha,582,48667,millie,hardiman,NA,GBR,1564.4,1545.0,1548.2,1670.3,52,8,8064
gb-8758-chaco,398,48758,charlotte,cooper,NA,GBR,1679.6,1592.4,1801.6,1820.1,28,11,8184
gb-8651-harte,81,48651,harriet,temple,NA,GBR,1561.8,1502.2,1565.5,1662.6,53,7,8113
gb-8259-ed0pa,331,48259,ed,paling,NA,GBR,1650.3,1585.4,1639.5,1681.9,56,10,8200
gb-8066-jacsi,539,48066,jack,sims,NA,GBR,1484.5,1349.8,1270.4,1289.2,102,5,8146
gb-7863-rorcl,574,47863,rory,clow,NA,GBR,1483.9,1659.6,1751.0,1781.5,36,6,8169
gb-7808-olism,86,47808,oliver,smith,NA,GBR,1423.1,1709.4,1583.4,1766.2,40,5,8146
gb-5772-geohu,85,45772,georgia,hughes,NA,GBR,1389.7,1495.5,1581.9,1436.2,0,3,7848
gb-7181-clemi,67,47181,clem,middle,NA,GBR,1835.4,1559.7,1933.1,1815.9,29,6,8146
gb-8709-finge,190,48709,finn,geri,NA,GBR,1227.8,1499.1,1500.0,1266.4,0,1,7848
gb-7625-ellth,691,47625,ellie,thwaites,NA,GBR,1662.3,1652.5,1669.2,1791.9,34,9,8179
gb-8264-rebsh,264,48264,rebecca,shearer,NA,GBR,1391.3,1461.3,1651.1,1626.5,0,4,7953
gb-0000-tormo,146,0,torquil,morrison,NA,GBR,1541.0,1717.5,1643.8,1814.7,30,8,8146
gb-8309-harwh,207,48309,harry,white,NA,GBR,1528.4,1380.1,1458.5,1396.1,0,3,7889
gb-6271-sammo,635,46271,sam,morley,NA,GBR,1414.9,1426.1,1560.6,1493.7,0,4,8169
gb-7743-lioka,295,47743,lion,kadioglu,NA,GBR,1287.0,1363.4,1500.0,1284.0,0,1,7848
gb-8578-domat,308,48578,dominic,atherton,NA,GBR,1550.5,1422.5,1454.9,1644.8,60,6,8146
gb-6891-elocu,666,46891,eloise,cusden,NA,GBR,1248.7,1415.7,1500.0,1314.2,0,1,7848
gb-9266-tyrbe,512,19266,tyrii,bell,NA,GBR,1340.3,1343.2,1388.5,1330.0,0,2,7889
gb-7685-jakra,286,47685,jake,rawes,NA,GBR,1536.2,1437.0,1387.4,1404.9,92,7,8146
gb-8719-themc,88,48719,theo,mcgonigle,NA,GBR,1417.9,1264.7,1466.6,1323.0,97,6,7889
gb-5006-alima,586,45006,alistair,mackinnon,NA,GBR,1395.1,1256.3,1408.3,1455.8,0,3,7953
gb-4144-lucra,209,44144,lucy,rains,NA,GBR,1236.0,1257.5,1416.3,1272.1,0,4,7889
gb-6227-harsi,530,46227,harry,sims,NA,GBR,1144.0,1281.8,1448.3,1188.6,0,4,8015
gb-3911-floto,563,43911,flo,tovey,NA,GBR,1413.2,1358.0,1639.1,1467.7,85,6,8169
gb-7725-petto,106,47725,peter,tokajuk,NA,GBR,1242.9,1262.1,1457.3,1206.9,0,4,7848
gb-1922-ffice,628,31922,ffion,cerrato,NA,GBR,1423.8,1230.4,1374.0,1255.6,103,7,8146
gb-8193-jasfo,189,48193,jasper,focardi-dolling,NA,GBR,1629.5,1653.5,1497.7,1696.6,48,16,8169
gb-6977-eliwh,154,46977,elizabeth,whitefoot,NA,GBR,1418.9,1263.4,1542.9,1304.3,99,9,8146
gb-6942-adebu,4,16942,adele,burbidge,NA,GBR,1434.3,1279.8,1437.5,1458.4,0,2,8146
gb-8317-noawo,686,48317,noah,wood,NA,GBR,1446.6,1700.3,1681.6,1803.1,0,4,7889
gb-6512-jeshe,177,46512,jessica,hedgecock,NA,GBR,1182.4,1249.8,1480.9,1193.4,0,3,7931
gb-7028-leama,650,47028,leah,may,NA,GBR,1576.5,1366.8,1377.5,1487.3,83,5,7953
gb-7750-elere,42,47750,electra,reeves,NA,GBR,1542.2,1528.9,1424.7,1712.6,45,6,8146
gb-0272-kylba,604,20272,kyla,baxter,NA,GBR,1426.1,1499.5,1656.6,1727.1,43,8,8184
gb-8819-fingo,297,48819,finn,goodman,NA,GBR,1265.0,1503.1,1528.5,1575.9,67,5,7889
gb-8682-chawh,206,48682,charley,white,NA,GBR,1191.5,1111.3,1382.9,1133.9,0,2,7889
gb-0000-harwe,878,0,harry,wemyss,NA,GBR,1382.3,1447.7,1640.0,1555.4,72,12,8198
gb-6439-geoma,655,46439,george,macfadyen,NA,GBR,1072.1,1145.9,1521.4,1001.0,0,2,7848
gb-8652-antpa,640,48652,antonio,pascali,NA,GBR,1630.5,1773.9,1500.0,1814.4,0,1,7770
gb-8535-samgr,315,48535,sam,grayton,NA,GBR,1568.9,1727.3,1739.2,1826.6,0,2,7842
gb-4036-josro,28,44036,joseph,rowe,NA,GBR,1466.2,1983.2,1925.9,1981.3,8,15,8200
gb-8509-henmo,87,48509,henry,moran,NA,GBR,1057.1,1072.8,1500.0,953.0,0,2,7848
gb-6610-jesta,90,46610,jessica,taylor,NA,GBR,1414.8,1448.7,1573.1,1556.5,0,3,8146
gb-8627-grane,60,48627,grace,newbold,NA,GBR,1498.6,1484.1,1403.2,1462.6,0,3,7860
gb-7636-ed0sm,544,47636,ed,smith,NA,GBR,1617.0,1599.3,1471.2,1610.0,64,6,8169
gb-8508-alepu,202,48508,alex,purrier,NA,GBR,1707.7,1546.7,1439.5,1674.6,0,3,8169
gb-7354-samma,613,47354,sam,mason,NA,GBR,1649.8,1688.6,1744.9,1814.2,0,5,8200
gb-8099-finwa,210,48099,finn,waterhouse,NA,GBR,1578.0,1525.4,1735.1,1771.6,39,8,8184
gb-8433-alejo,114,48433,alex,jones,NA,GBR,1955.2,1880.5,1904.8,2137.5,0,3,8169
gb-7853-isojo,109,47853,isobel,johnson,NA,GBR,1796.4,1630.1,1728.7,1829.4,0,4,8169
gb-7658-aleva,100,47658,alex,van-doren,NA,GBR,1661.1,1627.5,1541.2,1760.6,0,4,8169
gb-8315-finbr,510,48315,finn,brook-holmes,NA,GBR,1635.4,1683.8,1535.7,1721.7,0,4,7959
gb-4652-jamcl,159,44652,james,clements,NA,GBR,1522.1,1434.6,1451.8,1562.0,0,3,8199
gb-7734-geobu,529,47734,george,burden,NA,GBR,1488.2,1476.4,1445.6,1490.8,0,1,8169
gb-7647-islto,183,47647,isla,todd,NA,GBR,1666.2,1500.0,1548.4,1676.4,0,1,7953
gb-7835-sambr,685,47835,sam,brown,NA,GBR,1277.3,1135.0,1250.0,1025.2,0,1,8146
gb-8318-merat,508,48318,merryn,attridge,NA,GBR,1294.3,1848.8,1507.5,1855.5,0,3,8146
gb-0000-henpo,294,0,henry,powell,NA,GBR,1375.3,1252.9,1446.1,1322.3,0,4,8169
gb-5959-oliga,248,45959,oliver,gatton,NA,GBR,1574.7,1477.8,1515.3,1564.5,70,6,8169
gb-8681-avaha,92,48681,ava,harris-scott,NA,GBR,1750.2,1697.4,1705.7,1780.8,37,9,8184
gb-4517-sasle,536,44517,sasha,leach,NA,GBR,1348.6,1364.8,1536.5,1447.5,0,3,8169
gb-6364-matem,22,46364,matthew,emerson,NA,GBR,1651.2,1496.0,1815.6,1740.2,0,4,8169
gb-8571-katgu,235,48571,katherine,gunn,NA,GBR,1821.2,1792.8,1817.3,2007.1,9,14,8200
gb-8667-broth,666,48667,bronwen,thomas,NA,GBR,1336.1,1342.0,1211.2,1347.3,0,3,8169
gb-7949-lukto,211,47949,luke,townsend,NA,GBR,1500.0,1500.0,1500.0,1466.7,0,0,0
gb-8652-lucsy,94,48652,lucas,symons,NA,GBR,1351.9,1410.3,1303.2,1291.3,101,6,7953
gb-0000-josmi,78,0,joshua,milroy,NA,GBR,1617.4,1531.8,1577.0,1620.9,0,2,8177
gb-8974-natcl,285,48974,nathan,clark,NA,GBR,1533.6,1493.5,1256.6,1574.0,68,13,8198
gb-8580-glosm,113,48580,gloria,smith,NA,GBR,1569.4,1482.1,1562.4,1638.7,0,2,7953
gb-7173-danpo,369,47173,dan,powell,NA,GBR,1488.3,1528.8,1487.5,1686.0,0,3,8169
