sailorID,champNum,sailNo,firstname,Surname,Region,nat,lightRating,midRating,heavyRating,overallRating,rank,events,lastEventDate
gb-7077-joswa,290,47077,joseph,warwicker,NA,GBR,1990.9,2024.9,1566.0,2210.8,0,3,7848
gb-8600-edwcr,318,48600,edwin,cross,NA,GBR,1913.8,2111.9,1901.5,2139.7,3,8,7953
gb-5170-hugva,548,45170,hugo,valentine,NA,GBR,1801.4,1992.9,1835.9,2000.0,10,6,7953
gb-5047-samcr,571,45047,samson,cross,NA,GBR,1692.6,1810.6,1894.6,1882.8,21,7,7953
gb-8153-leoya,317,48153,leo,yates,NA,GBR,1911.2,1958.9,1821.7,1947.2,16,14,8169
gb-8100-roopu,70,48100,roo,purves,NA,GBR,1953.3,1851.8,1500.0,2145.4,0,1,7848
gb-7879-oscfr,238,47879,oscar,fry,NA,GBR,1871.6,2037.4,1793.3,2160.2,1,5,7889
gb-8603-danpa,426,48603,dan,palmer,NA,GBR,1857.4,1963.2,1500.0,2099.0,0,1,7848
gb-5770-bjoha,690,45770,bjorn,handley,NA,GBR,1839.7,1908.1,1887.5,2067.5,6,5,7953
gb-8433-robph,532,48433,robin,phipps,NA,GBR,1932.1,1952.8,1735.4,2063.3,0,4,7889
gb-6771-alfno,346,46771,alfie,noel,NA,GBR,1910.8,1977.3,1871.4,2145.9,2,6,7889
gb-8678-kaiwy,584,48678,kaitlyn,wyatt,NA,GBR,1771.4,1836.9,1730.7,1945.7,17,7,7889
gb-7601-tommo,658,47601,tom,moss,NA,GBR,1838.6,1691.2,1707.9,1709.5,46,7,7919
gb-8617-immre,108,48617,immi,rees,NA,GBR,1923.8,1658.3,1814.0,1831.3,27,6,7889
gb-8451-daifi,519,48451,daisy,fisher,NA,GBR,1835.9,1934.0,1886.3,2077.9,5,7,7889
gb-7680-olije,155,47680,oliver,jennings,NA,GBR,1817.8,1822.4,1570.1,1981.8,0,2,7848
gb-6989-jadbr,305,46989,jadon,brockdorff-kennedy,NA,GBR,1630.0,1670.1,1913.3,1689.1,50,5,8146
gb-7731-finca,191,47731,finn,caddy,NA,GBR,1855.4,1754.1,1507.6,2017.7,0,2,7848
gb-8098-haymo,545,48098,hayden,moore,NA,GBR,1715.2,1857.6,1837.3,1868.3,22,10,7953
gb-7927-reuhu,669,47927,reuben,hudson,NA,GBR,1848.0,1760.9,1830.5,1986.7,12,8,7953
gb-8663-eriyo,179,48663,erin,young,NA,GBR,1611.2,1829.6,1782.1,1959.0,15,11,8178
gb-8586-finmo,134,48586,finn,morgan,NA,GBR,1772.2,1793.4,1698.9,1895.3,0,4,7848
gb-7649-jibbo,654,47649,jibriel,bostan,NA,GBR,1734.0,1665.0,1586.3,1780.8,37,5,7848
gb-7765-lilbr,217,47765,lily,browning,NA,GBR,1890.8,1838.2,2026.4,2108.0,4,10,8146
gb-6168-gwyla,247,46168,gwyneth,lanyon,NA,GBR,1818.6,1721.8,1686.2,1747.7,41,6,7889
gb-8692-megth,615,48692,megan,thomson,NA,GBR,1609.5,1774.0,1735.3,1754.7,40,6,7953
gb-8258-chlmi,158,48258,chloe,mills,NA,GBR,1785.8,1857.9,1709.8,1844.9,25,6,7889
gb-8526-tomth,379,48526,tom,thwaites,NA,GBR,1771.4,1796.7,1500.0,1923.6,0,1,7848
gb-8744-gramc,156,48744,graydon,mcleod-fleming,NA,GBR,1867.1,1924.2,1834.3,1979.5,14,21,8179
gb-3834-chrha,243,43834,chris,hampshire,NA,GBR,1636.3,1727.2,1745.6,1865.8,23,9,8178
gb-8096-benho,618,48096,ben,homer,NA,GBR,1877.5,1906.1,1815.2,1978.6,13,7,8169
gb-7777-katbu,57,47777,katherine,burgess,NA,GBR,1571.3,1646.2,1730.1,1724.5,42,11,8064
gb-7746-tompe,511,47746,tom,peace,NA,GBR,1557.5,1391.9,1286.2,1489.5,80,6,8146
gb-5398-madsm,47,45398,maddie,smith,NA,GBR,1492.8,1548.8,1713.1,1480.5,0,3,7848
gb-6391-jespo,611,46391,jessica,powell,NA,GBR,1833.7,1889.2,1948.0,2058.0,7,21,8169
gb-7299-jasbr,170,47299,jasper,bramwell,NA,GBR,1707.3,1738.0,1715.8,1890.4,20,6,8178
gb-7676-sebda,91,47676,sebastian,davies,NA,GBR,1830.9,1684.8,1890.6,1925.3,19,9,8146
gb-7775-ruahe,36,47775,ruairi,herrington,NA,GBR,1624.4,1679.5,1776.8,1811.0,31,5,8169
gb-8185-arrgo,637,48185,arran,goodman,NA,GBR,1680.7,1698.7,1604.8,1649.0,57,8,7959
gb-8249-rhygr,263,48249,rhys,griffiths,NA,GBR,1610.6,1669.2,1771.1,1801.6,32,11,8169
gb-0827-isogl,208,30827,isobel,glazebrook,NA,GBR,1477.5,1562.0,1458.5,1539.6,0,2,7848
gb-8628-eriti,58,48628,erin,tinkler,NA,GBR,1475.4,1655.8,1848.8,1866.5,24,6,8169
gb-6205-caith,121,46205,caitlin,thomas,NA,GBR,1680.5,1582.5,1652.9,1662.8,53,17,8146
gb-7265-lewba,698,47265,lewis,bacon,NA,GBR,1728.2,1702.6,1772.5,1945.1,18,10,8178
gb-6522-josre,166,46522,joseph,reid,NA,GBR,1509.7,1705.1,1526.4,1700.5,0,2,7889
gb-8572-jemfr,44,48572,jemima,fry,NA,GBR,1517.3,1572.2,1550.3,1654.9,54,5,7889
gb-7786-emibr,200,47786,emily,brushett,NA,GBR,1786.9,1584.1,1536.1,1646.3,59,6,8146
gb-5197-polmc,349,45197,polly,mcmullan,NA,GBR,1317.7,1466.5,1435.4,1439.8,86,7,8169
gb-7764-tarew,696,47764,tara,ewbank,NA,GBR,1427.6,1619.3,1602.5,1580.9,66,12,8146
gb-8165-ed0qu,160,48165,ed,quinn,NA,GBR,1711.6,1570.2,1564.7,1572.8,68,8,8146
gb-7855-lauir,760,47855,lauren,irons,NA,GBR,1419.6,1803.6,1694.8,1619.6,61,5,7953
gb-8582-finbr,74,48582,finn,briggs,NA,GBR,1737.6,1753.0,1734.1,1836.3,26,7,8177
gb-8878-finso,323,48878,finn,southon,NA,GBR,1790.4,1457.0,1590.6,1785.0,35,7,7953
gb-8654-josja,324,48654,joshua,james,NA,GBR,1375.5,1537.1,1511.1,1459.2,0,2,7953
gb-8667-milha,582,48667,millie,hardiman,NA,GBR,1564.4,1545.0,1548.2,1671.6,51,8,8064
gb-8758-chaco,398,48758,charlotte,cooper,NA,GBR,1679.6,1580.0,1804.2,1795.0,34,10,8178
gb-8651-harte,81,48651,harriet,temple,NA,GBR,1561.8,1502.2,1565.5,1663.9,52,7,8113
gb-8259-ed0pa,331,48259,ed,paling,NA,GBR,1650.3,1571.3,1620.3,1655.5,55,9,8146
gb-8066-jacsi,539,48066,jack,sims,NA,GBR,1484.5,1349.8,1270.4,1290.5,98,5,8146
gb-7863-rorcl,574,47863,rory,clow,NA,GBR,1483.9,1659.6,1751.0,1782.8,36,6,8169
gb-7808-olism,86,47808,oliver,smith,NA,GBR,1423.1,1709.4,1583.4,1767.5,38,5,8146
gb-5772-geohu,85,45772,georgia,hughes,NA,GBR,1389.7,1495.5,1581.9,1437.5,0,3,7848
gb-7181-clemi,67,47181,clem,middle,NA,GBR,1835.4,1559.7,1933.1,1817.2,29,6,8146
gb-8709-finge,190,48709,finn,geri,NA,GBR,1227.8,1499.1,1500.0,1267.7,0,1,7848
gb-7625-ellth,691,47625,ellie,thwaites,NA,GBR,1662.3,1652.5,1669.2,1793.2,39,9,8179
gb-8264-rebsh,264,48264,rebecca,shearer,NA,GBR,1391.3,1461.3,1651.1,1627.8,0,4,7953
gb-0000-tormo,146,0,torquil,morrison,NA,GBR,1541.0,1717.5,1643.8,1816.0,30,8,8146
gb-8309-harwh,207,48309,harry,white,NA,GBR,1528.4,1380.1,1458.5,1397.4,0,3,7889
